DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0182966407916" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00997589991978" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00601023912376" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0112708064417" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.0695268045636" 
0, comb, up_uncorrelated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932752+0.00200952*log(x+19)*log(x+18)*(3-0.365892*log(x+18))+0.00347377208555" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.056052949279546738" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.017827972769737244" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.028752945363521576" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.054693799465894699" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.1091482862830162" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.156380295753479" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.16991613805294037" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.080352798104286194" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.20538398623466492" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.022421179339289665" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0071311891078948975" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.01150117814540863" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.02187751978635788" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.043659314513206482" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.062552116811275482" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.067966453731060028" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.032141119241714478" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.082153595983982086" 
0, mujets, down_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0870448210451" 
0, mujets, down_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.051491804068" 
0, mujets, down_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.161330219963" 
0, mujets, down_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0635225277482" 
0, mujets, down_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.134495502296" 
0, mujets, down_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0258817063549" 
0, mujets, down_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.048087935571" 
0, mujets, down_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.100977091279" 
0, mujets, down_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0160788790397" 
0, mujets, down_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0348179278259" 
0, mujets, down_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0205967216273" 
0, mujets, down_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0645320865386" 
0, mujets, down_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0254090112025" 
0, mujets, down_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.053798198744" 
0, mujets, down_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0103526824519" 
0, mujets, down_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0192351738044" 
0, mujets, down_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0403908395709" 
0, mujets, down_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.00643155157445" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0658524678941" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0184392465637" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0533296737052" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.049208339046" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0797856927163" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0125247412443" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.0288007565084" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.178846886578" 
0, mujets, down_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "1.05497+-0.00298783*log(x+19)*log(x+18)*(3-0.397111*log(x+18))-0.00770105589541" 
