CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.069126777350902557" 
1, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.11898474395275116" 
1, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.18454445898532867" 
1, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.21305495500564575" 
1, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.16250903904438019" 
1, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.18902692198753357" 
1, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.051529459655284882" 
1, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.017671864479780197" 
1, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.022306634113192558" 
1, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.023042259737849236" 
1, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.039661582559347153" 
1, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.061514820903539658" 
1, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.071018315851688385" 
1, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.054169680923223495" 
1, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))-0.063008971512317657" 
1, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.15458837151527405" 
1, mujets, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.053015593439340591" 
1, mujets, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.066919900476932526" 
1, mujets, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.069126777350902557" 
1, mujets, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.11898474395275116" 
1, mujets, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.18454445898532867" 
1, mujets, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.21305495500564575" 
1, mujets, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.16250903904438019" 
1, mujets, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.18902692198753357" 
1, mujets, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.051529459655284882" 
1, mujets, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.017671864479780197" 
1, mujets, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.022306634113192558" 
1, mujets, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.023042259737849236" 
1, mujets, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.039661582559347153" 
1, mujets, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.061514820903539658" 
1, mujets, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.071018315851688385" 
1, mujets, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.054169680923223495" 
1, mujets, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.941966*((1.+(0.0241018*x))/(1.+(0.0248776*x))))+0.063008971512317657" 
2, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.91423*((1.+(0.00958053*x))/(1.+(0.010132*x)))" 
2, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.91423*((1.+(0.00958053*x))/(1.+(0.010132*x)))" 
2, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.91423*((1.+(0.00958053*x))/(1.+(0.010132*x))))-0.1537763923406601" 
2, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.91423*((1.+(0.00958053*x))/(1.+(0.010132*x))))-0.050705436617136002" 
