
Attaching file /nfs/user/pmastra/DeepTau2p5/TauOfficial/nano/UL2018/DYJetsToLL_M-50-madgraphMLM/nano_0_skim_0.root as _file0...
Collection name='TObjArray', class='TObjArray', size=368
 OBJ: TLeafF	Rho_fixedGridRhoFastjetCentral	Rho_fixedGridRhoFastjetCentral
 OBJ: TLeafF	Tau_dxy	Tau_dxy[nTau]
 OBJ: TLeafF	Tau_dz	Tau_dz[nTau]
 OBJ: TLeafF	Tau_eta	Tau_eta[nTau]
 OBJ: TLeafF	Tau_mass	Tau_mass[nTau]
 OBJ: TLeafF	Tau_phi	Tau_phi[nTau]
 OBJ: TLeafF	Tau_pt	Tau_pt[nTau]
 OBJ: TLeafF	Tau_rawDeepTau2017v2p1VSe	Tau_rawDeepTau2017v2p1VSe[nTau]
 OBJ: TLeafF	Tau_rawDeepTau2017v2p1VSjet	Tau_rawDeepTau2017v2p1VSjet[nTau]
 OBJ: TLeafF	Tau_rawDeepTau2017v2p1VSmu	Tau_rawDeepTau2017v2p1VSmu[nTau]
 OBJ: TLeafF	Tau_rawDeepTau2018v2p5VSe	Tau_rawDeepTau2018v2p5VSe[nTau]
 OBJ: TLeafF	Tau_rawDeepTau2018v2p5VSjet	Tau_rawDeepTau2018v2p5VSjet[nTau]
 OBJ: TLeafF	Tau_rawDeepTau2018v2p5VSmu	Tau_rawDeepTau2018v2p5VSmu[nTau]
 OBJ: TLeafF	Tau_rawIsodR03	Tau_rawIsodR03[nTau]
 OBJ: TLeafF	Tau_rawIso	Tau_rawIso[nTau]
 OBJ: TLeafF	TkMET_phi	TkMET_phi
 OBJ: TLeafF	TkMET_pt	TkMET_pt
 OBJ: TLeafF	TkMET_sumEt	TkMET_sumEt
 OBJ: TLeafF	TrigObj_eta	TrigObj_eta[nTrigObj]
 OBJ: TLeafF	TrigObj_l1pt	TrigObj_l1pt[nTrigObj]
 OBJ: TLeafF	TrigObj_l1pt_2	TrigObj_l1pt_2[nTrigObj]
 OBJ: TLeafF	TrigObj_l2pt	TrigObj_l2pt[nTrigObj]
 OBJ: TLeafF	TrigObj_phi	TrigObj_phi[nTrigObj]
 OBJ: TLeafF	TrigObj_pt	TrigObj_pt[nTrigObj]
 OBJ: TLeafF	genWeight	genWeight
 OBJ: TLeafI	Electron_charge	Electron_charge[nElectron]
 OBJ: TLeafI	Electron_cutBased	Electron_cutBased[nElectron]
 OBJ: TLeafI	Electron_genPartIdx	Electron_genPartIdx[nElectron]
 OBJ: TLeafI	Electron_jetIdx	Electron_jetIdx[nElectron]
 OBJ: TLeafI	Electron_pdgId	Electron_pdgId[nElectron]
 OBJ: TLeafI	GenJet_partonFlavour	GenJet_partonFlavour[nGenJet]
 OBJ: TLeafI	GenPart_genPartIdxMother	GenPart_genPartIdxMother[nGenPart]
 OBJ: TLeafI	GenPart_pdgId	GenPart_pdgId[nGenPart]
 OBJ: TLeafI	GenPart_statusFlags	GenPart_statusFlags[nGenPart]
 OBJ: TLeafI	GenPart_status	GenPart_status[nGenPart]
 OBJ: TLeafI	GenVisTau_charge	GenVisTau_charge[nGenVisTau]
 OBJ: TLeafI	GenVisTau_genPartIdxMother	GenVisTau_genPartIdxMother[nGenVisTau]
 OBJ: TLeafI	GenVisTau_status	GenVisTau_status[nGenVisTau]
 OBJ: TLeafI	Generator_id1	Generator_id1
 OBJ: TLeafI	Generator_id2	Generator_id2
 OBJ: TLeafI	Jet_genJetIdx	Jet_genJetIdx[nJet]
 OBJ: TLeafI	Jet_hadronFlavour	Jet_hadronFlavour[nJet]
 OBJ: TLeafI	Jet_jetId	Jet_jetId[nJet]
 OBJ: TLeafI	Jet_partonFlavour	Jet_partonFlavour[nJet]
 OBJ: TLeafI	Jet_puId	Jet_puId[nJet]
 OBJ: TLeafI	Muon_charge	Muon_charge[nMuon]
 OBJ: TLeafI	Muon_genPartIdx	Muon_genPartIdx[nMuon]
 OBJ: TLeafI	Muon_jetIdx	Muon_jetIdx[nMuon]
 OBJ: TLeafI	Muon_tightCharge	Muon_tightCharge[nMuon]
 OBJ: TLeafI	PV_npvsGood	PV_npvsGood
 OBJ: TLeafI	PV_npvs	PV_npvs
